Year,Fresno,Kern,Kings,Madera,Merced,SanLuisObispo,Stanislaus,Tulare
2000,13.2,9.6,13.4,10.2,9.2,4.9,9.5,10.3
2001,12.4,8.6,9.4,11.1,10.9,5.5,10.4,10.4
2002,12.4,9.1,6.6,9.3,11.4,4.9,10.6,9.5
2003,12.9,12,8.3,11,14.5,5.4,11.2,13.5
2004,11.4,9.8,8.1,9.6,11.8,5,10.2,12.2
2005,10.5,9.1,9.1,10.5,12.3,5.3,9.4,11
2006,10.7,9.3,8.1,11.8,11.9,4.3,9.6,9.1
2007,11.9,9.4,7.6,10,9.4,4.9,9.2,8.8
2008,12.2,9.5,8.4,8.6,14.1,4.8,10.6,10.1
2009,13.4,10.3,10.2,10.3,12.4,4.8,11.7,11.3
2010,13.9,10.1,12.4,9.3,13.9,4.9,11.4,11.4
