FID_,YEAR_,STATE,UNIT_ID,FIRE_NUM,FIRE_NAME,AGENCY,ALARM_DATE,CONT_DATE,C_METHOD,CAUSE,INC_NUM,OBJECTIVE,COMMENTS,REPORT_AC,GIS_ACRES,Shape_Leng,Shape_Area
,2007,CA,KRN,717959,MOUNTAIN,CCO,20070719,20070719,1,14,717959,1, ,840.56,840.5579834,10229.11523,3401618.781
,2007,CA,KRN,713610,WOFFORD,USF,20070509,20070513,2,9,0,1, ,567,567.4569702,7154.99835,2296415.401
,2007,CA,FKU,9400,AUBERRY,CDF,20070828,20070903,2,10,9400,1, ,150,150.9360046,3302.735287,610816.5577
,2007,CA,FKU,9688,GATOS,CDF,20070902,20070905,2,1,9688,1, ,100,83.0522003,2298.988366,336100.3266
,2007,CA,MMU,0,HIGHWAY 41/ RD 209 3,CDF,20070520,0,6,14,5998,1, ,0,329.0809937,5371.204505,1331743.231
,2007,CA,KNP,113,BALDY RIDGE,NPS,20071101,20071201,1,1,0,2, ,20,19.6924992,2177.991104,79692.52018
,2007,CA,KNP,35,WILLOW,NPS,20070719,20071106,2,1,0,2, ,185,184.826004,5195.094653,747965.0671
,2007,CA,BBD,1504,BROWN,BLM,20070720,20070623,1,9,1504,1, ,84.7,1430.319946,16089.60509,5788288.833
,2007,CA,BBD,1379,BODFISH,BLM,20070610,20070611,2,14,1379,1, ,213,213.1159973,4154.091671,862450.6722
,2007,CA,BBD,2767,SAN BENITO,BLM,20070818,20070819,8,14,2767,1, ,15,16.0366001,1531.186704,64897.92618
,2007,CA,FKU,2844,PANOCHE,CDF,20070322,20070323,1,11,2844,1, ,300,73.7870026,2596.855936,298605.6014
,2007,CA,FKU,8730,TAR,CDF,20070810,20070819,2,14,8730,1, ,5670,5671.029785,24980.06043,22949836.58
,2007,CA,STF,90,BOURLAND,USF,20071030,20070000,6,1, ,2,20090305,28,29.3581009,1848.910202,118807.8859
,2007,CA,SNF,4,MONO,USF,20070405,20070525,2,1,4,1, ,98,98.0835037,5165.600886,396929.6959
,2007,CA,SQF,66,RICHBAR,USF,20071023,20071023,6,9,66,1, ,13,13.4326,926.1922271,54359.78211
,2007,CA,SQF,36,RIVER,USF,20070801,20070801,6,2,36,1, ,150,149.8869934,3220.092817,606570.0776
,2007,CA,SNF,37,DEVIL,USF,20070809,20070810,7,4,37,1, ,12,12.1688995,1669.060351,49245.959
,2007,CA,SQF,11,GOLDLEDGE,USF,20070603,20070616,2,9,11,1, ,4200,4196.02002,23759.6396,16980678.53
,2007,CA,SQF,42,GROUSE,USF,20070827,20071218,6,1,42,1, ,1022,1004.109985,10368.89716,4063506.091
,2007,CA,SQF,4,JAMES,USF,20070429,20070802,1,9,4,1, ,1350,1348.930054,16205.21524,5458935.744
,2007,CA,BBD,2293,BAILEY,BLM,0,20070722,1,14,2293,1, ,53.3,53.4463005,3804.548255,216289.5476
,2007,CA,BBD,2844,LITTLE,BLM,20070322,0,0,9,2844,1, ,0,66.902298,2674.090279,270744.0312
,2007,CA,BBD,7016,YOKHOL,BLM,20070715,0,0,14,7016,1,Data was provided without projection file assumed nad 83.,0,77.2032013,2826.201559,312430.3768
,2007,CA,BBD,1568,CANYON,BLM,20070723,20070624,1,9,1568,1, ,84.7,84.7237015,2693.526124,342864.8472
,2007,CA,FKU,9029,POWER HOUSE,CDF,20070818,20070819,2,10,9029,1, ,45,45.7994995,1740.000897,185344.1215
,2007,CA,YNP,2367,GRANT,NPS,20070710,20070920,1,1,0,2, ,13.35,13.3514004,1831.716649,54031.29549
,2007,CA,YNP,2397,BABCOCK,NPS,20070711,20070920,1,1,0,2, ,263.5,263.4330139,5100.384581,1066076.133
,2007,CA,YNP,3762,BALD WFU,NPS,20070830,20070905,1,1,0,2,This fire was converted from a WFU on 9/5,331.8,331.625,4470.819127,1342037.469
,2007,CA,YNP,3927,BALD WF,NPS,20070905,20070915,1,1,0,1,This fire was converted to a WF on 9/5,78.6,78.5916977,2993.73976,318049.5041
,2007,CA,YNP,4777,JACK WFU,NPS,20071029,20071107,1,1,0,2,This fire was converted from a WFU on 11/8,23.65,23.6336994,1710.291534,95642.1928
,2007,CA,YNP,4801,DEVIL,NPS,20071029,20071208,2,1,0,2, ,239.4,239.2610016,3986.218532,968254.0078
,2007,CA,YNP,4850,JACK WF,NPS,20071108,20071208,2,1,0,1,This fire was converted to a WF on 11/8,1106,1106.25,12308.82038,4476824.828
,2007,CA,SCU,0,LICK,CDF,20070903,20070915,2,5,5214,1, ,47760,47748.30078,89863.37783,193230406.1
,2007,CA,TCU,331,MURRAY,CDF,20070525,20070526,1,5,4493,1, ,110,102.8669968,3247.670676,416288.8647
,2007,CA,TCU,371,DUNTON,CDF,20070604,20070604,1,2,4883,1, ,208,208.2369995,4783.633787,842703.7676
,2007,CA,TCU,470,SHELL,CDF,20070702,20070703,1,14,5881,1, ,100,101.4229965,3448.262719,410442.5007
,2007,CA,TCU,550,GASSNER,CDF,20070721,20070721,1,14,6680,1, ,230,228.9830017,5200.592907,926659.8749
,2007,CA,TCU,652,GOLDEN,CDF,20070816,20070817,1,10,7615,1,main fire,66,65.6298981,2846.944461,265594.7207
,2007,CA,TCU,651,ORVIS,CDF,20070816,20070816,1,10,7609,1, ,540,534.9829712,13654.3602,2165000.081
,2007,CA,TCU,666,ITALIAN,CDF,20070822,20070828,1,14,7830,1,20090305,102,102.2799988,3003.509262,413913.5327
,2007,CA,TCU,746,SHELLEY,CDF,20070915,20070915,6,2,8668,1,"total swag perimeter, drawn 5 months later, Feb '08",104,103.7549973,2773.240862,419879.8177
,2007,CA,TUU,0,HORSE,CDF,20070528,20070530,1,7,57010,1, ,410,434.7890015,6368.121068,1759528.751
,2007,CA,TUU,0,SHANNON,CDF,20070603,20070604,2,2,59400,1, ,2140,2141,18073.25251,8664316.719
,2007,CA,SNF,52,SOURCE,USF,20070826,20070828,7,1,52,1, ,12,12.5742998,947.8764869,50886.51366
,2007,CA,SNF,6,TRIMMER,USF,20070525,20070526,6,9,6,1, ,186,193.5110016,4439.743663,783111.0844
,2007,CA,SQF,41,VISTA,USF,20070822,20070824,1,4,41,1, ,200,420.3179932,7220.184763,1700966.038
,2007,CA,ENF,46,CLOVER 2,USF,20070828,20070926,1,1,46,2, ,30,20.1611996,1659.492521,81589.43204
,2007,CA,SNF,51,ROCK,USF,20070826,20070901,1,1,51,1, ,96,85.7310028,3322.738607,346940.9902
,2007,CA,STF,75,INGALLS,USF,20071021,20071023,6,5, ,1,20090305,15,18.2458992,1195.685895,73838.6914
,2007,CA,STF,32,BUMMER,USF,20070724,20070725,1,1, ,1,20090305,50,60.4099007,4008.856301,244470.2758
,2007,CA,STF,44,DOME2,USF,20070810,20070810,6,2, ,1,20090305,120,137.6329956,3013.08587,556982.6988
,2007,CA,STF,43,NIAGARA,USF,20070809,20070809,1,4, ,1,20090305,161,161.3849945,6541.828268,653103.0571
,2007,CA,STF,78,JUPITER,USF,20071028,20071102,6,5, ,1,20090305,13,13.4020996,1366.446059,54236.50608
,2005,CA,BBD,1725,FLUME,BLM,20050703,20050703,1,8,1725,1, ,12,10.1752996,947.0080291,41178.1292
,2005,CA,BBD,2083,SIXTH,BLM,20050712,20050712,1,14,2083,1, ,74,73.5334015,3138.351842,297579.082
,2005,CA,BBD,2621,AERA,BLM,20050816,20050816,6,11,2621,1, ,12,10.1814003,920.6269364,41202.7546
,2005,CA,BBD,2712,EAGLE,BLM,20050823,20050824,1,1,2712,1, ,70,69.6504974,3625.273116,281865.5223
,2005,CA,BBD,2761,WELLS,BLM,20050827,20050828,2,1,2761,1, ,120,120.2060013,3294.732289,486457.7841
,2005,CA,BBD,0000B31Y,PENO BLANC,BLM,20050807,20050807,6,2,0000B31Y,1, ,50,49.6487999,2594.33207,200921.7021
,2005,CA,BBD,0000B6M9,CARSON,BLM,20050910,20050910,6,2,0000B6M9,1, ,12,12.1392002,978.9333961,49125.77788
,2005,CA,BBD,0000BWC2,PENN,BLM,20050625,20050625,6,11,0000BWC2,1, ,60,60.7711983,1833.823992,245932.4603
,2005,CA,BBD,0000BXY8,MARSHES,BLM,20050701,20050701,1,11,0000BXY8,1, ,21,76.2978973,3140.873061,308766.6298
,2005,CA,BBD,162386,GOLDEN,BLM,20050805,20050805,2,2,162386,1, ,74.8,74.7608032,2276.519824,302546.2134
,2005,CA,FKU,5337,APRICOT,CDF,20050517,20050518,1,4,5337,1, ,600,667.1229858,7395.087754,2699749.703
,2005,CA,KRN,0000BV3Q,FAYE,CCO,20050623,20050624,1,14,0000BV3Q,1, ,20,19.1438007,1336.329688,77472.3919
,2005,CA,MMU,150,152 FIRE,CDF,20050614,20050614,7,14,10674,1, ,224,193.6130066,6445.140855,783522.4539
,2005,CA,MMU,116,600 FIRE,CDF,20050601,20050601,6,14,9721,1, ,32,48.6722984,2753.959886,196969.7616
,2005,CA,MMU,195,800 FIRE,CDF,20050630,20050630,6,14,11807,1, ,43,44.3504982,1749.717799,179480.1247
,2005,CA,MMU,201,810 FIRE,CDF,20050701,20050701,6,2,11875,1, ,60,52.0727997,2047.961615,210731.0907
,2005,CA,MMU,250,ALTMAN,CDF,20050731,20050731,6,2,14248,1, ,24,43.6613998,1723.291802,176691.2367
,2005,CA,MMU,199,BAILEY,CDF,20050702,20050702,1,14,11965,1, ,740,1024.540039,10120.88909,4146162.718
,2005,CA,MMU,366,BATES,CDF,20050926,20050926,6,1,18585,1, ,21,23.1627998,1226.611859,93736.64091
,2005,CA,MMU,270,BLANCO,CDF,20050807,20050807,6,2,14846,1, ,35,19.7145004,1300.476152,79781.80182
,2005,CA,MMU,442,BUCKEYE,CDF,20051112,20051112,6,18,21667,1, ,20,20.0382004,1193.298458,81091.56432
,2005,CA,MMU,317,COTTONWOOD,CDF,20050901,20050901,6,10,16693,1, ,150,152.1139984,3393.097979,615581.678
,2005,CA,MMU,256,COWPIE,CDF,20050801,20050801,6,9,14337,1, ,3200,4983.379883,27880.05123,20167034.84
,2005,CA,MMU,253,DINOSAUR,CDF,20050731,20050731,6,14,14257,1, ,31,45.7178993,2232.188429,185013.7734
,2005,CA,MMU,124,DOS AMIGOS,CDF,20050603,20050603,6,10,9861,1, ,1232,746.0349731,10196.39656,3019095.263
,2005,CA,MMU,309,ENGINEERS,CDF,20050829,20050829,6,2,16440,1, ,225,239.3999939,7324.866125,968817.525
,2005,CA,MMU,167,HENSLEY,CDF,20050620,20050620,6,7,11087,1, ,20,18.7849007,1117.139251,76019.85823
,2005,CA,MMU,329,HORSESHOE,CDF,20050906,20050906,6,14,17079,1, ,160,439.6099854,6510.840623,1779037.71
,2005,CA,MMU,348,LA PALOMA,CDF,20050920,20050920,1,1,18135,1, ,700,751.3079834,9725.335984,3040435.175
,2005,CA,MMU,363,LAGUNA,CDF,20050926,20050926,6,14,18557,1, ,308,260.2890015,4526.109742,1053352.736
,2005,CA,MMU,249,LAGUNA 2,CDF,20050730,20050730,6,10,14173,1, ,447,545.0050049,7013.778061,2205557.436
