SAMPLE_DATE,PM25_CONCENTRATION,UNITS,STATE,COUNTY,MSA
01022010,6.1,ug/m3 LC,01,003,
01052010,7.5,ug/m3 LC,01,003,
01082010,5.6,ug/m3 LC,01,003,
01112010,7.6,ug/m3 LC,01,003,
01142010,14.6,ug/m3 LC,01,003,
01172010,6.8,ug/m3 LC,01,003,
01202010,6.3,ug/m3 LC,01,003,
01232010,11.6,ug/m3 LC,01,003,
01262010,5.9,ug/m3 LC,01,003,
01292010,9.3,ug/m3 LC,01,003,
02012010,11.3,ug/m3 LC,01,003,
02042010,9.4,ug/m3 LC,01,003,
02072010,12.3,ug/m3 LC,01,003,
02102010,7.8,ug/m3 LC,01,003,
02132010,6.2,ug/m3 LC,01,003,
02162010,5.3,ug/m3 LC,01,003,
02192010,10.2,ug/m3 LC,01,003,
02222010,7.1,ug/m3 LC,01,003,
02252010,5.8,ug/m3 LC,01,003,
02282010,9.9,ug/m3 LC,01,003,
03032010,8,ug/m3 LC,01,003,
03062010,11.1,ug/m3 LC,01,003,
03092010,10.2,ug/m3 LC,01,003,
03122010,7.7,ug/m3 LC,01,003,
03152010,5.2,ug/m3 LC,01,003,
03182010,15.1,ug/m3 LC,01,003,
03212010,5.3,ug/m3 LC,01,003,
03242010,14.7,ug/m3 LC,01,003,
03272010,9.1,ug/m3 LC,01,003,
03302010,10.8,ug/m3 LC,01,003,
04022010,9.9,ug/m3 LC,01,003,
04052010,8.8,ug/m3 LC,01,003,
04082010,7.7,ug/m3 LC,01,003,
04112010,11.2,ug/m3 LC,01,003,
04142010,8.3,ug/m3 LC,01,003,
04172010,9.7,ug/m3 LC,01,003,
04202010,10.2,ug/m3 LC,01,003,
04232010,9.8,ug/m3 LC,01,003,
04262010,6.9,ug/m3 LC,01,003,
04292010,7.6,ug/m3 LC,01,003,
05022010,33.8,ug/m3 LC,01,003,
05052010,14.8,ug/m3 LC,01,003,
05082010,11.4,ug/m3 LC,01,003,
05112010,12.3,ug/m3 LC,01,003,
05142010,11.1,ug/m3 LC,01,003,
05172010,8.5,ug/m3 LC,01,003,
05202010,14.3,ug/m3 LC,01,003,
05232010,10.3,ug/m3 LC,01,003,
05262010,9.5,ug/m3 LC,01,003,
05292010,20.6,ug/m3 LC,01,003,
06012010,12.2,ug/m3 LC,01,003,
06042010,8.6,ug/m3 LC,01,003,
06072010,13.8,ug/m3 LC,01,003,
06102010,12.1,ug/m3 LC,01,003,
06132010,17.6,ug/m3 LC,01,003,
06162010,20,ug/m3 LC,01,003,
06192010,12.7,ug/m3 LC,01,003,
06222010,5,ug/m3 LC,01,003,
06252010,7.7,ug/m3 LC,01,003,
06282010,6.2,ug/m3 LC,01,003,
07012010,4.4,ug/m3 LC,01,003,
07042010,8,ug/m3 LC,01,003,
07072010,10.1,ug/m3 LC,01,003,
07102010,19.2,ug/m3 LC,01,003,
07132010,16.3,ug/m3 LC,01,003,
07162010,11.2,ug/m3 LC,01,003,
07192010,12.3,ug/m3 LC,01,003,
07222010,15.6,ug/m3 LC,01,003,
07252010,5,ug/m3 LC,01,003,
07282010,12,ug/m3 LC,01,003,
07312010,16.8,ug/m3 LC,01,003,
08032010,14.7,ug/m3 LC,01,003,
08062010,15.2,ug/m3 LC,01,003,
08092010,14.3,ug/m3 LC,01,003,
08122010,5.2,ug/m3 LC,01,003,
08152010,7.8,ug/m3 LC,01,003,
08182010,5.7,ug/m3 LC,01,003,
08212010,6.5,ug/m3 LC,01,003,
08242010,18.8,ug/m3 LC,01,003,
08272010,3.2,ug/m3 LC,01,003,
08302010,6.8,ug/m3 LC,01,003,
09022010,14.5,ug/m3 LC,01,003,
09052010,10.4,ug/m3 LC,01,003,
09082010,7.2,ug/m3 LC,01,003,
09112010,5.9,ug/m3 LC,01,003,
09142010,12.6,ug/m3 LC,01,003,
09172010,9,ug/m3 LC,01,003,
09202010,18,ug/m3 LC,01,003,
09232010,11.2,ug/m3 LC,01,003,
09262010,3.6,ug/m3 LC,01,003,
09292010,11.4,ug/m3 LC,01,003,
10022010,8.7,ug/m3 LC,01,003,
10052010,8.7,ug/m3 LC,01,003,
10082010,16.5,ug/m3 LC,01,003,
10112010,17.3,ug/m3 LC,01,003,
10142010,10.6,ug/m3 LC,01,003,
10172010,11.7,ug/m3 LC,01,003,
10202010,12.8,ug/m3 LC,01,003,
10232010,12.6,ug/m3 LC,01,003,
10262010,7.1,ug/m3 LC,01,003,
10292010,5.5,ug/m3 LC,01,003,
11012010,8.9,ug/m3 LC,01,003,
11042010,4.8,ug/m3 LC,01,003,
11072010,8.8,ug/m3 LC,01,003,
11102010,16,ug/m3 LC,01,003,
11132010,11.7,ug/m3 LC,01,003,
11162010,8.4,ug/m3 LC,01,003,
11192010,9.5,ug/m3 LC,01,003,
11222010,6.4,ug/m3 LC,01,003,
11252010,4.6,ug/m3 LC,01,003,
11282010,7,ug/m3 LC,01,003,
12012010,6.6,ug/m3 LC,01,003,
12042010,8.3,ug/m3 LC,01,003,
12072010,8.8,ug/m3 LC,01,003,
12102010,14.7,ug/m3 LC,01,003,
12132010,3.8,ug/m3 LC,01,003,
12162010,6.2,ug/m3 LC,01,003,
12192010,10.2,ug/m3 LC,01,003,
12222010,12.5,ug/m3 LC,01,003,
12252010,12.4,ug/m3 LC,01,003,
12282010,11.1,ug/m3 LC,01,003,
12312010,7.6,ug/m3 LC,01,003,
01022010,5.9,ug/m3 LC,01,027,
01052010,7.5,ug/m3 LC,01,027,
01082010,9.5,ug/m3 LC,01,027,
01112010,5.5,ug/m3 LC,01,027,
01142010,10.8,ug/m3 LC,01,027,
01172010,2.1,ug/m3 LC,01,027,
01202010,26.4,ug/m3 LC,01,027,
01232010,7.2,ug/m3 LC,01,027,
01262010,3.4,ug/m3 LC,01,027,
01292010,7.5,ug/m3 LC,01,027,
02012010,8.7,ug/m3 LC,01,027,
02072010,11,ug/m3 LC,01,027,
02102010,8.4,ug/m3 LC,01,027,
02132010,10.2,ug/m3 LC,01,027,
02192010,13.4,ug/m3 LC,01,027,
02222010,8.1,ug/m3 LC,01,027,
02252010,6,ug/m3 LC,01,027,
02282010,7.6,ug/m3 LC,01,027,
03032010,10.9,ug/m3 LC,01,027,
03062010,5.1,ug/m3 LC,01,027,
03092010,12.5,ug/m3 LC,01,027,
03122010,3.7,ug/m3 LC,01,027,
03152010,5.8,ug/m3 LC,01,027,
03182010,10,ug/m3 LC,01,027,
03212010,7.7,ug/m3 LC,01,027,
03242010,14,ug/m3 LC,01,027,
03272010,7.7,ug/m3 LC,01,027,
03302010,7.5,ug/m3 LC,01,027,
04022010,11.3,ug/m3 LC,01,027,
04052010,10.3,ug/m3 LC,01,027,
04082010,6.5,ug/m3 LC,01,027,
04112010,9.6,ug/m3 LC,01,027,
04142010,19.1,ug/m3 LC,01,027,
04172010,14.4,ug/m3 LC,01,027,
04202010,11.4,ug/m3 LC,01,027,
04232010,11.9,ug/m3 LC,01,027,
04262010,5.2,ug/m3 LC,01,027,
04292010,9.4,ug/m3 LC,01,027,
05082010,28.6,ug/m3 LC,01,027,
05112010,11.5,ug/m3 LC,01,027,
05142010,15.8,ug/m3 LC,01,027,
05172010,8.4,ug/m3 LC,01,027,
05202010,9.6,ug/m3 LC,01,027,
05232010,12.1,ug/m3 LC,01,027,
05262010,8.7,ug/m3 LC,01,027,
05292010,12.5,ug/m3 LC,01,027,
06042010,7,ug/m3 LC,01,027,
06072010,8.7,ug/m3 LC,01,027,
06102010,18.9,ug/m3 LC,01,027,
06132010,14.3,ug/m3 LC,01,027,
06162010,15.7,ug/m3 LC,01,027,
06192010,9.2,ug/m3 LC,01,027,
06222010,7,ug/m3 LC,01,027,
06252010,10,ug/m3 LC,01,027,
06282010,9.2,ug/m3 LC,01,027,
07012010,17.1,ug/m3 LC,01,027,
07042010,11.1,ug/m3 LC,01,027,
07072010,11.3,ug/m3 LC,01,027,
07102010,10.4,ug/m3 LC,01,027,
07162010,12.7,ug/m3 LC,01,027,
07192010,8.9,ug/m3 LC,01,027,
07222010,16.7,ug/m3 LC,01,027,
07252010,7.1,ug/m3 LC,01,027,
07282010,6.7,ug/m3 LC,01,027,
07312010,13.4,ug/m3 LC,01,027,
08032010,14.7,ug/m3 LC,01,027,
08062010,11.2,ug/m3 LC,01,027,
08092010,15.2,ug/m3 LC,01,027,
08122010,9,ug/m3 LC,01,027,
08152010,13.4,ug/m3 LC,01,027,
08182010,4.6,ug/m3 LC,01,027,
08212010,11.6,ug/m3 LC,01,027,
08242010,15.2,ug/m3 LC,01,027,
08272010,16.3,ug/m3 LC,01,027,
08302010,11.2,ug/m3 LC,01,027,
09022010,21.7,ug/m3 LC,01,027,
09052010,4.5,ug/m3 LC,01,027,
09082010,14.6,ug/m3 LC,01,027,
09112010,12.6,ug/m3 LC,01,027,
09142010,12,ug/m3 LC,01,027,
09172010,14.9,ug/m3 LC,01,027,
09202010,19.3,ug/m3 LC,01,027,
09232010,13.1,ug/m3 LC,01,027,
09262010,5.5,ug/m3 LC,01,027,
09292010,12,ug/m3 LC,01,027,
10022010,10.3,ug/m3 LC,01,027,
10052010,6.9,ug/m3 LC,01,027,
10082010,12.9,ug/m3 LC,01,027,
10112010,19.7,ug/m3 LC,01,027,
10142010,7.6,ug/m3 LC,01,027,
10172010,9.2,ug/m3 LC,01,027,
10202010,12.5,ug/m3 LC,01,027,
10232010,8.3,ug/m3 LC,01,027,
10262010,3.4,ug/m3 LC,01,027,
10292010,5.1,ug/m3 LC,01,027,
11012010,16.2,ug/m3 LC,01,027,
11042010,5.2,ug/m3 LC,01,027,
11072010,6.5,ug/m3 LC,01,027,
11102010,9.3,ug/m3 LC,01,027,
11132010,13.3,ug/m3 LC,01,027,
11162010,3.3,ug/m3 LC,01,027,
11192010,10.9,ug/m3 LC,01,027,
11222010,9.5,ug/m3 LC,01,027,
11252010,5.8,ug/m3 LC,01,027,
11282010,6.3,ug/m3 LC,01,027,
12012010,5.6,ug/m3 LC,01,027,
12042010,9.9,ug/m3 LC,01,027,
12072010,8.5,ug/m3 LC,01,027,
12102010,21.5,ug/m3 LC,01,027,
12192010,8,ug/m3 LC,01,027,
12252010,10.1,ug/m3 LC,01,027,
12282010,5.7,ug/m3 LC,01,027,
12312010,10.7,ug/m3 LC,01,027,
01022010,5.6,ug/m3 LC,01,033,
01052010,9.1,ug/m3 LC,01,033,
01142010,19,ug/m3 LC,01,033,
01172010,5.1,ug/m3 LC,01,033,
01202010,9,ug/m3 LC,01,033,
01232010,10.4,ug/m3 LC,01,033,
01262010,4.5,ug/m3 LC,01,033,
01292010,6.5,ug/m3 LC,01,033,
02012010,14.5,ug/m3 LC,01,033,
02042010,13.5,ug/m3 LC,01,033,
02072010,12.6,ug/m3 LC,01,033,
02102010,8.2,ug/m3 LC,01,033,
02132010,9,ug/m3 LC,01,033,
02162010,6,ug/m3 LC,01,033,
02192010,9.2,ug/m3 LC,01,033,
02222010,8.5,ug/m3 LC,01,033,
02252010,6.5,ug/m3 LC,01,033,
02282010,5.9,ug/m3 LC,01,033,
03032010,11.3,ug/m3 LC,01,033,
03062010,8.8,ug/m3 LC,01,033,
03092010,14.2,ug/m3 LC,01,033,
03122010,4.6,ug/m3 LC,01,033,
03152010,6.1,ug/m3 LC,01,033,
03182010,10.2,ug/m3 LC,01,033,
03212010,7.9,ug/m3 LC,01,033,
03242010,15.8,ug/m3 LC,01,033,
03272010,8,ug/m3 LC,01,033,
03302010,10.2,ug/m3 LC,01,033,
04022010,9.9,ug/m3 LC,01,033,
04052010,12.1,ug/m3 LC,01,033,
04082010,5.4,ug/m3 LC,01,033,
04112010,10.1,ug/m3 LC,01,033,
04142010,18.8,ug/m3 LC,01,033,
04172010,10.6,ug/m3 LC,01,033,
04202010,9.5,ug/m3 LC,01,033,
04232010,12.3,ug/m3 LC,01,033,
04262010,5.3,ug/m3 LC,01,033,
04292010,10,ug/m3 LC,01,033,
05022010,11.9,ug/m3 LC,01,033,
05052010,10.4,ug/m3 LC,01,033,
05082010,5.5,ug/m3 LC,01,033,
05112010,17.3,ug/m3 LC,01,033,
05142010,14.3,ug/m3 LC,01,033,
05172010,6.9,ug/m3 LC,01,033,
05202010,10.6,ug/m3 LC,01,033,
05232010,17.5,ug/m3 LC,01,033,
05262010,12.9,ug/m3 LC,01,033,
05292010,10.6,ug/m3 LC,01,033,
06012010,14.3,ug/m3 LC,01,033,
06042010,8.7,ug/m3 LC,01,033,
06072010,5.5,ug/m3 LC,01,033,
06102010,11.6,ug/m3 LC,01,033,
06132010,12.5,ug/m3 LC,01,033,
06162010,11.8,ug/m3 LC,01,033,
06192010,11,ug/m3 LC,01,033,
06222010,17.3,ug/m3 LC,01,033,
06252010,7.6,ug/m3 LC,01,033,
06282010,10,ug/m3 LC,01,033,
07012010,15.1,ug/m3 LC,01,033,
07042010,17.2,ug/m3 LC,01,033,
07072010,12.3,ug/m3 LC,01,033,
07102010,12.9,ug/m3 LC,01,033,
07132010,6.6,ug/m3 LC,01,033,
07162010,9,ug/m3 LC,01,033,
07192010,8,ug/m3 LC,01,033,
07222010,14,ug/m3 LC,01,033,
07252010,16.2,ug/m3 LC,01,033,
07282010,5.8,ug/m3 LC,01,033,
07312010,12.7,ug/m3 LC,01,033,
08032010,15,ug/m3 LC,01,033,
08062010,12.2,ug/m3 LC,01,033,
08092010,17.5,ug/m3 LC,01,033,
08122010,21.9,ug/m3 LC,01,033,
08152010,12.9,ug/m3 LC,01,033,
08182010,7.6,ug/m3 LC,01,033,
08212010,9.7,ug/m3 LC,01,033,
08242010,12.8,ug/m3 LC,01,033,
08272010,16.3,ug/m3 LC,01,033,
09022010,16.5,ug/m3 LC,01,033,
09052010,5.7,ug/m3 LC,01,033,
09082010,8.5,ug/m3 LC,01,033,
09112010,10.2,ug/m3 LC,01,033,
09142010,9.9,ug/m3 LC,01,033,
09172010,11.5,ug/m3 LC,01,033,
09202010,15.8,ug/m3 LC,01,033,
09232010,20,ug/m3 LC,01,033,
09262010,7.7,ug/m3 LC,01,033,
09292010,9.9,ug/m3 LC,01,033,
10022010,5.9,ug/m3 LC,01,033,
10052010,6.3,ug/m3 LC,01,033,
10142010,7.2,ug/m3 LC,01,033,
10172010,9.1,ug/m3 LC,01,033,
10202010,10.8,ug/m3 LC,01,033,
10232010,8.2,ug/m3 LC,01,033,
10262010,5.7,ug/m3 LC,01,033,
11042010,8.1,ug/m3 LC,01,033,
11072010,10.6,ug/m3 LC,01,033,
11102010,15.1,ug/m3 LC,01,033,
11132010,14.8,ug/m3 LC,01,033,
11162010,5.1,ug/m3 LC,01,033,
11192010,12.6,ug/m3 LC,01,033,
11222010,8.1,ug/m3 LC,01,033,
11252010,5.3,ug/m3 LC,01,033,
11282010,8.4,ug/m3 LC,01,033,
12012010,5,ug/m3 LC,01,033,
12042010,11.3,ug/m3 LC,01,033,
12072010,10.7,ug/m3 LC,01,033,
12102010,13.2,ug/m3 LC,01,033,
12132010,4.5,ug/m3 LC,01,033,
12162010,7.7,ug/m3 LC,01,033,
12192010,12.9,ug/m3 LC,01,033,
12222010,12.1,ug/m3 LC,01,033,
12252010,9.2,ug/m3 LC,01,033,
12282010,10.7,ug/m3 LC,01,033,
12312010,10.5,ug/m3 LC,01,033,
01022010,7.4,ug/m3 LC,01,049,
01082010,10.4,ug/m3 LC,01,049,
01142010,22.1,ug/m3 LC,01,049,
01172010,3.7,ug/m3 LC,01,049,
01202010,10.5,ug/m3 LC,01,049,
01232010,8.1,ug/m3 LC,01,049,
01262010,4.6,ug/m3 LC,01,049,
01292010,7.4,ug/m3 LC,01,049,
02012010,9.7,ug/m3 LC,01,049,
02042010,15,ug/m3 LC,01,049,
02072010,14.2,ug/m3 LC,01,049,
02102010,9.4,ug/m3 LC,01,049,
02132010,18,ug/m3 LC,01,049,
02162010,6.5,ug/m3 LC,01,049,
02192010,8.9,ug/m3 LC,01,049,
02222010,10.9,ug/m3 LC,01,049,
02252010,10.1,ug/m3 LC,01,049,
02282010,8.4,ug/m3 LC,01,049,
03062010,8.8,ug/m3 LC,01,049,
03092010,12.2,ug/m3 LC,01,049,
03152010,7,ug/m3 LC,01,049,
03182010,15.8,ug/m3 LC,01,049,
03212010,10.1,ug/m3 LC,01,049,
03242010,15,ug/m3 LC,01,049,
03272010,7.5,ug/m3 LC,01,049,
03302010,10.7,ug/m3 LC,01,049,
04022010,21.5,ug/m3 LC,01,049,
04052010,13,ug/m3 LC,01,049,
04082010,6.7,ug/m3 LC,01,049,
04112010,10.7,ug/m3 LC,01,049,
04142010,19.6,ug/m3 LC,01,049,
04172010,15.1,ug/m3 LC,01,049,
04202010,12.8,ug/m3 LC,01,049,
04232010,16.2,ug/m3 LC,01,049,
04262010,5.6,ug/m3 LC,01,049,
04292010,10,ug/m3 LC,01,049,
05052010,12.5,ug/m3 LC,01,049,
05082010,7.9,ug/m3 LC,01,049,
05112010,12.8,ug/m3 LC,01,049,
05142010,16.1,ug/m3 LC,01,049,
05172010,6.5,ug/m3 LC,01,049,
05202010,11.6,ug/m3 LC,01,049,
05232010,10.6,ug/m3 LC,01,049,
05262010,6.4,ug/m3 LC,01,049,
05292010,13.4,ug/m3 LC,01,049,
06012010,12.3,ug/m3 LC,01,049,
06042010,10.5,ug/m3 LC,01,049,
06072010,8,ug/m3 LC,01,049,
06102010,15.4,ug/m3 LC,01,049,
06132010,13.9,ug/m3 LC,01,049,
06162010,11.2,ug/m3 LC,01,049,
06192010,8.6,ug/m3 LC,01,049,
06222010,16,ug/m3 LC,01,049,
06252010,8.7,ug/m3 LC,01,049,
06282010,14,ug/m3 LC,01,049,
07012010,15.9,ug/m3 LC,01,049,
07102010,8.1,ug/m3 LC,01,049,
07162010,14.4,ug/m3 LC,01,049,
07222010,10.8,ug/m3 LC,01,049,
07312010,12.1,ug/m3 LC,01,049,
08062010,11.8,ug/m3 LC,01,049,
08092010,21.5,ug/m3 LC,01,049,
08122010,14.6,ug/m3 LC,01,049,
08152010,11.8,ug/m3 LC,01,049,
08182010,8.3,ug/m3 LC,01,049,
08272010,18,ug/m3 LC,01,049,
08302010,16.2,ug/m3 LC,01,049,
09022010,17.7,ug/m3 LC,01,049,
09052010,5.1,ug/m3 LC,01,049,
09082010,16,ug/m3 LC,01,049,
09112010,10.4,ug/m3 LC,01,049,
09142010,9.7,ug/m3 LC,01,049,
09172010,15.3,ug/m3 LC,01,049,
09202010,17.8,ug/m3 LC,01,049,
09232010,19.8,ug/m3 LC,01,049,
09262010,5.2,ug/m3 LC,01,049,
09292010,10.7,ug/m3 LC,01,049,
10022010,8,ug/m3 LC,01,049,
10052010,7.1,ug/m3 LC,01,049,
10082010,13.6,ug/m3 LC,01,049,
10112010,15.1,ug/m3 LC,01,049,
10142010,6.9,ug/m3 LC,01,049,
10172010,7.4,ug/m3 LC,01,049,
10202010,12.5,ug/m3 LC,01,049,
11042010,5.7,ug/m3 LC,01,049,
11072010,8.6,ug/m3 LC,01,049,
11102010,11.7,ug/m3 LC,01,049,
11132010,14.2,ug/m3 LC,01,049,
11192010,11.8,ug/m3 LC,01,049,
11222010,8,ug/m3 LC,01,049,
11252010,5.8,ug/m3 LC,01,049,
11282010,7.8,ug/m3 LC,01,049,
12012010,6.9,ug/m3 LC,01,049,
12042010,13.1,ug/m3 LC,01,049,
12072010,11.5,ug/m3 LC,01,049,
12102010,16.7,ug/m3 LC,01,049,
12132010,5.5,ug/m3 LC,01,049,
12162010,6.8,ug/m3 LC,01,049,
12192010,12.9,ug/m3 LC,01,049,
12222010,14.6,ug/m3 LC,01,049,
12252010,9.6,ug/m3 LC,01,049,
12282010,20.3,ug/m3 LC,01,049,
12312010,11,ug/m3 LC,01,049,
01022010,6.8,ug/m3 LC,01,055,
01052010,10.1,ug/m3 LC,01,055,
01082010,9.5,ug/m3 LC,01,055,
01142010,22.4,ug/m3 LC,01,055,
01172010,2.6,ug/m3 LC,01,055,
01202010,9.8,ug/m3 LC,01,055,
01232010,8.8,ug/m3 LC,01,055,
01262010,3.9,ug/m3 LC,01,055,
01292010,7.2,ug/m3 LC,01,055,
02012010,11.2,ug/m3 LC,01,055,
02042010,15.9,ug/m3 LC,01,055,
02072010,13.7,ug/m3 LC,01,055,
02102010,9.7,ug/m3 LC,01,055,
02132010,17,ug/m3 LC,01,055,
02162010,7.2,ug/m3 LC,01,055,
02192010,8.7,ug/m3 LC,01,055,
02222010,11.9,ug/m3 LC,01,055,
02252010,8.5,ug/m3 LC,01,055,
02282010,7.2,ug/m3 LC,01,055,
03032010,12.3,ug/m3 LC,01,055,
03062010,9,ug/m3 LC,01,055,
03092010,15.3,ug/m3 LC,01,055,
03122010,5.7,ug/m3 LC,01,055,
03152010,6,ug/m3 LC,01,055,
03182010,11.9,ug/m3 LC,01,055,
03212010,8.9,ug/m3 LC,01,055,
03242010,16.9,ug/m3 LC,01,055,
03272010,8.3,ug/m3 LC,01,055,
03302010,9.5,ug/m3 LC,01,055,
04022010,24.6,ug/m3 LC,01,055,
04052010,15.7,ug/m3 LC,01,055,
04082010,6.4,ug/m3 LC,01,055,
04112010,13.3,ug/m3 LC,01,055,
04142010,23.9,ug/m3 LC,01,055,
04172010,16,ug/m3 LC,01,055,
04202010,15,ug/m3 LC,01,055,
04232010,16.6,ug/m3 LC,01,055,
04262010,6.1,ug/m3 LC,01,055,
04292010,11.5,ug/m3 LC,01,055,
05022010,14.1,ug/m3 LC,01,055,
05052010,16.5,ug/m3 LC,01,055,
05082010,8.6,ug/m3 LC,01,055,
05112010,12.9,ug/m3 LC,01,055,
05142010,16.9,ug/m3 LC,01,055,
05172010,7.9,ug/m3 LC,01,055,
05202010,12,ug/m3 LC,01,055,
05232010,10.9,ug/m3 LC,01,055,
05262010,7.9,ug/m3 LC,01,055,
05292010,13.7,ug/m3 LC,01,055,
06012010,11.9,ug/m3 LC,01,055,
06042010,9,ug/m3 LC,01,055,
06072010,9.1,ug/m3 LC,01,055,
06102010,16.6,ug/m3 LC,01,055,
06132010,14.5,ug/m3 LC,01,055,
06162010,10.8,ug/m3 LC,01,055,
06192010,10.5,ug/m3 LC,01,055,
06222010,12.7,ug/m3 LC,01,055,
06252010,10.3,ug/m3 LC,01,055,
06282010,12.3,ug/m3 LC,01,055,
07012010,17.1,ug/m3 LC,01,055,
07042010,19.4,ug/m3 LC,01,055,
07072010,15.9,ug/m3 LC,01,055,
07102010,7.5,ug/m3 LC,01,055,
07132010,11.3,ug/m3 LC,01,055,
07162010,13.2,ug/m3 LC,01,055,
07192010,10.3,ug/m3 LC,01,055,
07222010,12.7,ug/m3 LC,01,055,
07252010,13.7,ug/m3 LC,01,055,
07282010,6.5,ug/m3 LC,01,055,
07312010,13.8,ug/m3 LC,01,055,
08032010,23.6,ug/m3 LC,01,055,
08062010,12.5,ug/m3 LC,01,055,
08092010,20.5,ug/m3 LC,01,055,
08122010,12.2,ug/m3 LC,01,055,
08152010,11.9,ug/m3 LC,01,055,
08182010,6.8,ug/m3 LC,01,055,
08212010,9.2,ug/m3 LC,01,055,
08242010,16,ug/m3 LC,01,055,
08272010,18.4,ug/m3 LC,01,055,
08302010,15,ug/m3 LC,01,055,
