"","DATE","PM25_CONCENTRATION","UNITS","COUNTY.NAME","year","month","day"
"9870",2001-01-05 16:00:00,76,"ug/m3 LC","San Joaquin","2001","1","06"
"9871",2001-01-08 16:00:00,26,"ug/m3 LC","San Joaquin","2001","1","09"
"9872",2001-01-09 16:00:00,21,"ug/m3 LC","San Joaquin","2001","1","10"
"9873",2001-01-12 16:00:00,10,"ug/m3 LC","San Joaquin","2001","1","13"
"9874",2001-01-13 16:00:00,14,"ug/m3 LC","San Joaquin","2001","1","14"
"9875",2001-01-15 16:00:00,7,"ug/m3 LC","San Joaquin","2001","1","16"
"9876",2001-01-18 16:00:00,58,"ug/m3 LC","San Joaquin","2001","1","19"
"9877",2001-01-24 16:00:00,13,"ug/m3 LC","San Joaquin","2001","1","25"
"9878",2001-01-26 16:00:00,9,"ug/m3 LC","San Joaquin","2001","1","27"
"9879",2001-01-27 16:00:00,28,"ug/m3 LC","San Joaquin","2001","1","28"
"9880",2001-01-30 16:00:00,25,"ug/m3 LC","San Joaquin","2001","1","31"
"9881",2001-02-02 16:00:00,22,"ug/m3 LC","San Joaquin","2001","2","03"
"9882",2001-02-05 16:00:00,8,"ug/m3 LC","San Joaquin","2001","2","06"
"9883",2001-02-08 16:00:00,16,"ug/m3 LC","San Joaquin","2001","2","09"
"9884",2001-02-11 16:00:00,9,"ug/m3 LC","San Joaquin","2001","2","12"
"9885",2001-02-16 16:00:00,31,"ug/m3 LC","San Joaquin","2001","2","17"
"9886",2001-02-17 16:00:00,24,"ug/m3 LC","San Joaquin","2001","2","18"
"9887",2001-02-20 16:00:00,11,"ug/m3 LC","San Joaquin","2001","2","21"
"9888",2001-02-23 16:00:00,8,"ug/m3 LC","San Joaquin","2001","2","24"
"9889",2001-02-28 16:00:00,16,"ug/m3 LC","San Joaquin","2001","3","01"
"9890",2001-03-01 16:00:00,16,"ug/m3 LC","San Joaquin","2001","3","02"
"9891",2001-03-04 16:00:00,4,"ug/m3 LC","San Joaquin","2001","3","05"
"9892",2001-03-07 16:00:00,10,"ug/m3 LC","San Joaquin","2001","3","08"
"9893",2001-03-10 16:00:00,23,"ug/m3 LC","San Joaquin","2001","3","11"
"9894",2001-03-16 16:00:00,9,"ug/m3 LC","San Joaquin","2001","3","17"
"9895",2001-03-17 16:00:00,9,"ug/m3 LC","San Joaquin","2001","3","18"
"9896",2001-03-19 16:00:00,21,"ug/m3 LC","San Joaquin","2001","3","20"
"9897",2001-03-22 16:00:00,8,"ug/m3 LC","San Joaquin","2001","3","23"
"9898",2001-03-25 16:00:00,9,"ug/m3 LC","San Joaquin","2001","3","26"
"9899",2001-03-28 16:00:00,6,"ug/m3 LC","San Joaquin","2001","3","29"
"9900",2001-03-31 16:00:00,7,"ug/m3 LC","San Joaquin","2001","4","01"
"9901",2001-04-03 17:00:00,6,"ug/m3 LC","San Joaquin","2001","4","04"
"9902",2001-04-06 17:00:00,4,"ug/m3 LC","San Joaquin","2001","4","07"
"9903",2001-04-09 17:00:00,6,"ug/m3 LC","San Joaquin","2001","4","10"
"9904",2001-04-12 17:00:00,8,"ug/m3 LC","San Joaquin","2001","4","13"
"9905",2001-04-15 17:00:00,11,"ug/m3 LC","San Joaquin","2001","4","16"
"9906",2001-05-09 17:00:00,18,"ug/m3 LC","San Joaquin","2001","5","10"
"9907",2001-05-11 17:00:00,13,"ug/m3 LC","San Joaquin","2001","5","12"
"9908",2001-05-12 17:00:00,9,"ug/m3 LC","San Joaquin","2001","5","13"
"9909",2001-05-13 17:00:00,7,"ug/m3 LC","San Joaquin","2001","5","14"
"9910",2001-05-15 17:00:00,6,"ug/m3 LC","San Joaquin","2001","5","16"
"9911",2001-05-16 17:00:00,10,"ug/m3 LC","San Joaquin","2001","5","17"
"9912",2001-05-18 17:00:00,11,"ug/m3 LC","San Joaquin","2001","5","19"
"9913",2001-05-19 17:00:00,8,"ug/m3 LC","San Joaquin","2001","5","20"
"9914",2001-05-21 17:00:00,10,"ug/m3 LC","San Joaquin","2001","5","22"
"9915",2001-05-24 17:00:00,9,"ug/m3 LC","San Joaquin","2001","5","25"
"9916",2001-05-25 17:00:00,10,"ug/m3 LC","San Joaquin","2001","5","26"
"9917",2001-05-26 17:00:00,9,"ug/m3 LC","San Joaquin","2001","5","27"
"9918",2001-05-27 17:00:00,8,"ug/m3 LC","San Joaquin","2001","5","28"
"9919",2001-05-30 17:00:00,11,"ug/m3 LC","San Joaquin","2001","5","31"
"9920",2001-06-01 17:00:00,7,"ug/m3 LC","San Joaquin","2001","6","02"
"9921",2001-06-02 17:00:00,7,"ug/m3 LC","San Joaquin","2001","6","03"
"9922",2001-06-05 17:00:00,6,"ug/m3 LC","San Joaquin","2001","6","06"
"9923",2001-06-08 17:00:00,6,"ug/m3 LC","San Joaquin","2001","6","09"
"9924",2001-06-11 17:00:00,5,"ug/m3 LC","San Joaquin","2001","6","12"
"9925",2001-06-14 17:00:00,10,"ug/m3 LC","San Joaquin","2001","6","15"
"9926",2001-06-17 17:00:00,8,"ug/m3 LC","San Joaquin","2001","6","18"
"9927",2001-06-20 17:00:00,12,"ug/m3 LC","San Joaquin","2001","6","21"
"9928",2001-06-23 17:00:00,5,"ug/m3 LC","San Joaquin","2001","6","24"
"9929",2001-06-26 17:00:00,6,"ug/m3 LC","San Joaquin","2001","6","27"
"9930",2001-06-29 17:00:00,10,"ug/m3 LC","San Joaquin","2001","6","30"
