SAMPLE_DATE,PM25_CONCENTRATION,UNITS,STATE,COUNTY,MSA
01032011,6.1,ug/m3 LC,01,003,
01062011,10,ug/m3 LC,01,003,
01092011,5.9,ug/m3 LC,01,003,
01122011,6.1,ug/m3 LC,01,003,
01152011,16,ug/m3 LC,01,003,
01182011,8.8,ug/m3 LC,01,003,
01212011,4,ug/m3 LC,01,003,
01242011,7,ug/m3 LC,01,003,
01272011,7.4,ug/m3 LC,01,003,
01302011,7.3,ug/m3 LC,01,003,
02022011,6.4,ug/m3 LC,01,003,
02052011,9,ug/m3 LC,01,003,
02082011,7.7,ug/m3 LC,01,003,
02112011,10.1,ug/m3 LC,01,003,
02142011,9.3,ug/m3 LC,01,003,
02172011,13.4,ug/m3 LC,01,003,
02202011,7.5,ug/m3 LC,01,003,
02232011,16.5,ug/m3 LC,01,003,
02262011,10.4,ug/m3 LC,01,003,
03012011,7.8,ug/m3 LC,01,003,
03042011,10.5,ug/m3 LC,01,003,
03072011,11.5,ug/m3 LC,01,003,
03102011,8.4,ug/m3 LC,01,003,
03132011,6.7,ug/m3 LC,01,003,
03162011,7.1,ug/m3 LC,01,003,
03192011,12.6,ug/m3 LC,01,003,
03222011,14.2,ug/m3 LC,01,003,
03252011,13.4,ug/m3 LC,01,003,
03282011,12.7,ug/m3 LC,01,003,
03312011,10.9,ug/m3 LC,01,003,
04032011,9.6,ug/m3 LC,01,003,
04062011,6.3,ug/m3 LC,01,003,
04092011,9.6,ug/m3 LC,01,003,
04122011,7.5,ug/m3 LC,01,003,
04152011,10.9,ug/m3 LC,01,003,
04182011,7,ug/m3 LC,01,003,
04212011,5.8,ug/m3 LC,01,003,
04242011,7.5,ug/m3 LC,01,003,
04272011,12.1,ug/m3 LC,01,003,
04302011,8.6,ug/m3 LC,01,003,
05032011,6.1,ug/m3 LC,01,003,
05062011,11.2,ug/m3 LC,01,003,
05092011,11.4,ug/m3 LC,01,003,
05122011,10.2,ug/m3 LC,01,003,
05152011,5.6,ug/m3 LC,01,003,
05182011,8.5,ug/m3 LC,01,003,
05212011,14.9,ug/m3 LC,01,003,
05242011,9.6,ug/m3 LC,01,003,
05272011,11,ug/m3 LC,01,003,
05302011,9.1,ug/m3 LC,01,003,
06022011,17.5,ug/m3 LC,01,003,
06082011,11.8,ug/m3 LC,01,003,
06112011,20.3,ug/m3 LC,01,003,
06142011,21.2,ug/m3 LC,01,003,
06172011,10.1,ug/m3 LC,01,003,
06202011,8.7,ug/m3 LC,01,003,
06232011,7.9,ug/m3 LC,01,003,
06262011,5.1,ug/m3 LC,01,003,
06292011,10.3,ug/m3 LC,01,003,
07022011,19.5,ug/m3 LC,01,003,
07052011,11.4,ug/m3 LC,01,003,
07082011,13.3,ug/m3 LC,01,003,
07112011,8.2,ug/m3 LC,01,003,
07142011,9.1,ug/m3 LC,01,003,
07172011,8,ug/m3 LC,01,003,
07202011,6.2,ug/m3 LC,01,003,
07232011,4.5,ug/m3 LC,01,003,
07262011,10.9,ug/m3 LC,01,003,
07292011,8.8,ug/m3 LC,01,003,
08012011,11.2,ug/m3 LC,01,003,
08042011,17.3,ug/m3 LC,01,003,
08072011,14.4,ug/m3 LC,01,003,
08102011,14.1,ug/m3 LC,01,003,
08192011,21.2,ug/m3 LC,01,003,
08222011,14.8,ug/m3 LC,01,003,
08252011,17,ug/m3 LC,01,003,
08282011,16.3,ug/m3 LC,01,003,
08312011,11.9,ug/m3 LC,01,003,
09032011,2.9,ug/m3 LC,01,003,
09092011,10.6,ug/m3 LC,01,003,
09122011,17.3,ug/m3 LC,01,003,
09152011,14.5,ug/m3 LC,01,003,
09182011,18.5,ug/m3 LC,01,003,
09212011,6,ug/m3 LC,01,003,
09242011,17.6,ug/m3 LC,01,003,
09272011,9.2,ug/m3 LC,01,003,
09302011,10.2,ug/m3 LC,01,003,
10032011,6.2,ug/m3 LC,01,003,
10062011,11.3,ug/m3 LC,01,003,
10092011,6.5,ug/m3 LC,01,003,
10122011,6.9,ug/m3 LC,01,003,
10152011,9.5,ug/m3 LC,01,003,
10182011,7.6,ug/m3 LC,01,003,
10212011,8.1,ug/m3 LC,01,003,
10242011,11.2,ug/m3 LC,01,003,
10272011,10,ug/m3 LC,01,003,
10302011,7,ug/m3 LC,01,003,
11022011,10.7,ug/m3 LC,01,003,
11052011,11.5,ug/m3 LC,01,003,
11082011,4.5,ug/m3 LC,01,003,
11112011,7.7,ug/m3 LC,01,003,
11142011,6.6,ug/m3 LC,01,003,
11172011,5.6,ug/m3 LC,01,003,
11202011,5.1,ug/m3 LC,01,003,
11232011,5.7,ug/m3 LC,01,003,
11262011,6.1,ug/m3 LC,01,003,
11292011,5.7,ug/m3 LC,01,003,
12022011,14.7,ug/m3 LC,01,003,
12052011,5.6,ug/m3 LC,01,003,
12082011,9.2,ug/m3 LC,01,003,
12112011,9.8,ug/m3 LC,01,003,
12142011,8,ug/m3 LC,01,003,
12172011,6.8,ug/m3 LC,01,003,
12202011,5.3,ug/m3 LC,01,003,
12292011,6.8,ug/m3 LC,01,003,
01032011,3.2,ug/m3 LC,01,027,
01062011,7.4,ug/m3 LC,01,027,
01092011,5.4,ug/m3 LC,01,027,
01122011,12,ug/m3 LC,01,027,
01152011,7,ug/m3 LC,01,027,
01182011,10.2,ug/m3 LC,01,027,
01212011,4,ug/m3 LC,01,027,
01242011,7.4,ug/m3 LC,01,027,
01272011,6.9,ug/m3 LC,01,027,
01302011,13.1,ug/m3 LC,01,027,
02022011,5.6,ug/m3 LC,01,027,
02052011,5.7,ug/m3 LC,01,027,
02082011,5.3,ug/m3 LC,01,027,
02112011,7.4,ug/m3 LC,01,027,
02142011,12.6,ug/m3 LC,01,027,
02172011,24.9,ug/m3 LC,01,027,
02202011,20.9,ug/m3 LC,01,027,
02232011,16.9,ug/m3 LC,01,027,
02262011,9.2,ug/m3 LC,01,027,
03012011,7.9,ug/m3 LC,01,027,
03042011,10.8,ug/m3 LC,01,027,
03072011,10,ug/m3 LC,01,027,
03102011,6.9,ug/m3 LC,01,027,
03132011,11.7,ug/m3 LC,01,027,
03162011,5.5,ug/m3 LC,01,027,
03192011,20,ug/m3 LC,01,027,
03222011,14.6,ug/m3 LC,01,027,
03252011,7,ug/m3 LC,01,027,
03282011,6.9,ug/m3 LC,01,027,
03312011,12.2,ug/m3 LC,01,027,
04032011,6.9,ug/m3 LC,01,027,
04062011,4.9,ug/m3 LC,01,027,
04092011,13.8,ug/m3 LC,01,027,
04122011,6.6,ug/m3 LC,01,027,
04152011,14.1,ug/m3 LC,01,027,
04182011,9.4,ug/m3 LC,01,027,
04212011,8,ug/m3 LC,01,027,
04242011,7.9,ug/m3 LC,01,027,
04272011,8.5,ug/m3 LC,01,027,
04302011,7.5,ug/m3 LC,01,027,
05032011,5.6,ug/m3 LC,01,027,
05062011,8.6,ug/m3 LC,01,027,
05092011,18.6,ug/m3 LC,01,027,
05122011,14.4,ug/m3 LC,01,027,
05152011,3.9,ug/m3 LC,01,027,
05182011,14.8,ug/m3 LC,01,027,
05212011,15.2,ug/m3 LC,01,027,
05242011,12.6,ug/m3 LC,01,027,
05272011,13.3,ug/m3 LC,01,027,
05302011,13.2,ug/m3 LC,01,027,
06022011,28.7,ug/m3 LC,01,027,
06052011,20.9,ug/m3 LC,01,027,
06082011,19.2,ug/m3 LC,01,027,
06112011,16.7,ug/m3 LC,01,027,
06142011,16,ug/m3 LC,01,027,
06172011,7.1,ug/m3 LC,01,027,
06202011,9.2,ug/m3 LC,01,027,
06232011,6.4,ug/m3 LC,01,027,
06262011,9.4,ug/m3 LC,01,027,
06292011,11.8,ug/m3 LC,01,027,
07022011,17.9,ug/m3 LC,01,027,
07052011,12.2,ug/m3 LC,01,027,
07082011,17.9,ug/m3 LC,01,027,
07112011,11.9,ug/m3 LC,01,027,
07142011,13.5,ug/m3 LC,01,027,
07172011,6.8,ug/m3 LC,01,027,
07202011,18.1,ug/m3 LC,01,027,
07232011,7,ug/m3 LC,01,027,
07262011,11.9,ug/m3 LC,01,027,
07292011,7.3,ug/m3 LC,01,027,
08012011,19,ug/m3 LC,01,027,
08042011,8.3,ug/m3 LC,01,027,
08072011,15.2,ug/m3 LC,01,027,
08102011,7.5,ug/m3 LC,01,027,
08132011,16.4,ug/m3 LC,01,027,
08162011,11.5,ug/m3 LC,01,027,
08192011,20.9,ug/m3 LC,01,027,
08222011,14.1,ug/m3 LC,01,027,
08252011,15.7,ug/m3 LC,01,027,
08282011,12,ug/m3 LC,01,027,
08312011,22.3,ug/m3 LC,01,027,
09032011,17,ug/m3 LC,01,027,
09092011,9.9,ug/m3 LC,01,027,
09122011,15.4,ug/m3 LC,01,027,
09152011,10.4,ug/m3 LC,01,027,
09182011,8.2,ug/m3 LC,01,027,
09212011,5.5,ug/m3 LC,01,027,
09242011,5.1,ug/m3 LC,01,027,
09272011,10.8,ug/m3 LC,01,027,
09302011,5.8,ug/m3 LC,01,027,
10032011,7,ug/m3 LC,01,027,
10062011,10.8,ug/m3 LC,01,027,
10092011,6.7,ug/m3 LC,01,027,
10122011,8.9,ug/m3 LC,01,027,
10152011,6.6,ug/m3 LC,01,027,
10182011,9.9,ug/m3 LC,01,027,
10212011,8.9,ug/m3 LC,01,027,
10242011,9.8,ug/m3 LC,01,027,
10272011,15.4,ug/m3 LC,01,027,
10302011,7,ug/m3 LC,01,027,
11022011,10.5,ug/m3 LC,01,027,
11052011,12,ug/m3 LC,01,027,
11082011,5.5,ug/m3 LC,01,027,
11112011,6.1,ug/m3 LC,01,027,
11142011,6.2,ug/m3 LC,01,027,
11172011,3.9,ug/m3 LC,01,027,
11202011,15.6,ug/m3 LC,01,027,
11232011,4.4,ug/m3 LC,01,027,
12022011,8,ug/m3 LC,01,027,
12052011,7.1,ug/m3 LC,01,027,
12082011,6.1,ug/m3 LC,01,027,
12112011,8.5,ug/m3 LC,01,027,
12142011,6.9,ug/m3 LC,01,027,
12172011,5.5,ug/m3 LC,01,027,
12202011,9.7,ug/m3 LC,01,027,
12232011,6,ug/m3 LC,01,027,
12262011,5,ug/m3 LC,01,027,
12292011,5.9,ug/m3 LC,01,027,
01062011,8,ug/m3 LC,01,033,
01092011,5.7,ug/m3 LC,01,033,
01122011,9.7,ug/m3 LC,01,033,
01152011,10.8,ug/m3 LC,01,033,
01182011,16.1,ug/m3 LC,01,033,
01212011,7.9,ug/m3 LC,01,033,
01242011,7.5,ug/m3 LC,01,033,
01272011,11.3,ug/m3 LC,01,033,
01302011,12.1,ug/m3 LC,01,033,
02022011,4.9,ug/m3 LC,01,033,
02052011,5.4,ug/m3 LC,01,033,
02082011,6.2,ug/m3 LC,01,033,
02112011,5.2,ug/m3 LC,01,033,
02142011,6.8,ug/m3 LC,01,033,
02172011,14.2,ug/m3 LC,01,033,
02202011,13.2,ug/m3 LC,01,033,
02232011,15.8,ug/m3 LC,01,033,
02262011,11.1,ug/m3 LC,01,033,
03012011,11.7,ug/m3 LC,01,033,
03072011,10.8,ug/m3 LC,01,033,
03102011,9.1,ug/m3 LC,01,033,
03162011,6.9,ug/m3 LC,01,033,
03192011,10.5,ug/m3 LC,01,033,
03222011,12.7,ug/m3 LC,01,033,
03252011,13.6,ug/m3 LC,01,033,
03282011,12.6,ug/m3 LC,01,033,
03312011,20.5,ug/m3 LC,01,033,
04032011,7.4,ug/m3 LC,01,033,
04062011,4.7,ug/m3 LC,01,033,
04152011,10.1,ug/m3 LC,01,033,
04182011,10.2,ug/m3 LC,01,033,
04212011,8.6,ug/m3 LC,01,033,
04242011,8.7,ug/m3 LC,01,033,
04272011,6.8,ug/m3 LC,01,033,
04302011,8.6,ug/m3 LC,01,033,
05032011,3.9,ug/m3 LC,01,033,
05062011,8.2,ug/m3 LC,01,033,
05092011,14.2,ug/m3 LC,01,033,
05122011,12.8,ug/m3 LC,01,033,
05152011,3.3,ug/m3 LC,01,033,
05182011,9.7,ug/m3 LC,01,033,
05212011,13,ug/m3 LC,01,033,
05242011,12.6,ug/m3 LC,01,033,
05272011,7.7,ug/m3 LC,01,033,
05302011,11.2,ug/m3 LC,01,033,
06022011,19.1,ug/m3 LC,01,033,
06052011,21.3,ug/m3 LC,01,033,
06082011,21.9,ug/m3 LC,01,033,
06112011,18.2,ug/m3 LC,01,033,
06142011,21.2,ug/m3 LC,01,033,
06172011,6,ug/m3 LC,01,033,
06202011,8.1,ug/m3 LC,01,033,
06232011,6.1,ug/m3 LC,01,033,
06262011,7.2,ug/m3 LC,01,033,
06292011,12.6,ug/m3 LC,01,033,
07022011,12,ug/m3 LC,01,033,
07052011,16.3,ug/m3 LC,01,033,
07082011,9.8,ug/m3 LC,01,033,
07112011,14.1,ug/m3 LC,01,033,
07142011,10.4,ug/m3 LC,01,033,
07172011,7.5,ug/m3 LC,01,033,
07202011,14.3,ug/m3 LC,01,033,
07232011,9.5,ug/m3 LC,01,033,
07262011,18,ug/m3 LC,01,033,
07292011,6.7,ug/m3 LC,01,033,
08012011,16,ug/m3 LC,01,033,
08042011,8.8,ug/m3 LC,01,033,
08072011,11.5,ug/m3 LC,01,033,
08102011,8,ug/m3 LC,01,033,
08132011,12.5,ug/m3 LC,01,033,
08162011,13.1,ug/m3 LC,01,033,
08192011,15.8,ug/m3 LC,01,033,
08222011,15,ug/m3 LC,01,033,
08252011,12.2,ug/m3 LC,01,033,
08282011,13.9,ug/m3 LC,01,033,
08312011,21.4,ug/m3 LC,01,033,
09032011,20.1,ug/m3 LC,01,033,
09062011,4.7,ug/m3 LC,01,033,
09092011,8.5,ug/m3 LC,01,033,
09122011,13.9,ug/m3 LC,01,033,
09152011,7.6,ug/m3 LC,01,033,
09182011,13.7,ug/m3 LC,01,033,
09212011,11.1,ug/m3 LC,01,033,
09242011,8.9,ug/m3 LC,01,033,
09272011,7.8,ug/m3 LC,01,033,
09302011,4.6,ug/m3 LC,01,033,
10032011,5.8,ug/m3 LC,01,033,
10062011,15,ug/m3 LC,01,033,
10092011,6.5,ug/m3 LC,01,033,
10122011,4.1,ug/m3 LC,01,033,
